Name,ABN,Address_streetblock,Address_locality,postcode,Email,Address For Service email,Charity Size,Who the charity helps,Date established,Last reported,Next report due,Financial Year End,States,Total_Income,TGI_Government Grants,TGI_Donations_and_Bequests,TGI_Goods_or_Services,TGI_Income_Investments,TGI_Other Revenues,Total_Expense,TE_Grants_and_Donations_in_Australia,TE_Grants_Donations_Outside_of_Australia,TE_Interest,TE_Employees,TE_Other
Smiths Beach Surf Lifesaving Club Inc.,69608149198,Po Box 1255,Dunsborough,6281,accounts@sbslsc.com.au,accounts@sbslsc.com.au,Small,"Adults - aged 25 to under 65,Children - aged 6 to under 15,Youth - 15 to under 25,General community in Australia",2011,18 October 2019,31 October 2020,30-4月,WA," $52,885.00",31078,7586,850,38,13333," $33,988.00",0,0,0,0,33988
Tannum Sands Surf Life Saving Club Inc,29420390312,Building 1 The Esplanade,Tannum Sands,4680,secretary@tannumsurf.com.au,secretary@tannumsurf.com.au,Small,General community in Australia,1989,7 September 2019,31 October 2020,30-4月,QLD," $173,969.00",34783,25152,47513,0,66521," $201,680.00",0,0,0,0,201680
Swansea-Belmont Surf Life Saving Club Limited,54087305048,Swansea Belmont Slsc,Blacksmiths,2281,david.pringle@bctrials.org.au,david.pringle@bctrials.org.au,Medium,General community in Australia,1999,23 October 2019,31 December 2020,30-6月,NSW," $548,712.00",0,59268,198203,10394,280847," $362,012.00",4250,0,0,0,357762
Sunshine Beach Surf Life Saving Club Inc,86489039083,Cnr Duke St & Belmore Tce,Sunshine Beach,4567,lifesaving@sunshinebeachslsc.com.au,lifesaving@sunshinebeachslsc.com.au,Large,General community in Australia,1983,21 November 2018,31 October 2019,30-4月,QLD," $1,229,705.00",43449,927117,241322,17817,0," $618,756.00",0,0,0,136627,482129
Secret Harbour Surf Life Saving Club Incorporated,65851571056,,,,admin@secretharbourslsc.com,trish@secretharbourslsc.com,Medium,"Adults - aged 25 to under 65,Children - aged 6 to under 15,Families,People with disabilities,Youth - 15 to under 25",1982,15 October 2019,31 October 2020,30-4月,WA," $545,663.00",21062,23171,247072,2305,252053," $598,661.00",770,0,0,235241,362650
Sawtell Surf Life Saving Club Incorporated,43320356044,22 Fourth Ave,Sawtell,2452,secretary@sawtellsurfclub.com.au,secretary@sawtellsurfclub.com.au,Medium,General community in Australia,1978,2 July 2019,31 October 2020,30-4月,NSW," $396,511.00",23673,228621,127621,8021,8575," $213,224.00",0,0,0,0,213224
Seacliff Surf Life Saving Club Inc,65603038011,Seacliff Life Savings Club,Seacliff,5049,secretary@seacliffslsc.com.au,secretary@seacliffslsc.com.au,Large,"People with disabilities,General community in Australia",,22 August 2019,31 October 2020,30-4月,"QLD,SA"," $1,198,372.00",46966,17895,0,0,1133511," $1,151,854.00",0,0,0,347965,803889
South Maroubra Surf Life Saving Club Inc,20186191094,1 Marine Pde,Maroubra,2035,office@southmaroubrasurfclub.com.au,admin@southmaroubraslsc.com.au,Medium,General community in Australia,1958,24 June 2020,31 October 2017,30-4月,NSW," $559,093.00",69830,116145,323183,23,49912," $635,755.00",128097,0,0,0,507658
Shellharbour Surf Life Saving Club Inc,60579359253,27 Junction Rd,Barrack Point,2528,chris@troutmanai.com.au,chris@troutmanai.com.au,Small,General community in Australia,1935,2 May 2020,31 October 2021,30-4月,NSW," $160,083.00",36747,23716,0,0,99620," $161,708.00",0,0,0,0,161708
Salt Surf Life Saving Club Incorporated,20435851012,1-25 Bells Bvd,Kingscliff,2487,admin@saltsurfclub.com.au,secretary@saltsurfclub.com.au,Large,"Children - aged 6 to under 15,General community in Australia",2004,1 September 2019,31 October 2020,30-4月,NSW," $1,356,832.00",1030466,253600,23298,3635,45833," $189,759.00",0,0,0,0,189759
Port Walcott Surf Life Saving Club Inc.,30683371418,1 Collett Cl,Millars Well,6714,portwalcottsls@gmail.com,portwalcottsls@gmail.com,Small,Children - aged 6 to under 15,2015,12 November 2019,31 October 2020,30-4月,WA," $25,551.00",0,13276,7450,0,4825," $31,072.00",0,0,0,0,31072
Port Noarlunga Surf Life Saving Club Incorporated,66020020713,Witton Centre Saltfleet St,Port Noarlunga,5167,dkappler@bigpond.net.au,dkappler@bigpond.net.au,Medium,General community in Australia,1935,9 September 2019,31 October 2019,30-4月,SA," $293,896.00",11962,1444,279185,795,510," $345,279.00",0,0,0,119288,225991
Scarboro Surf Life Saving Club Inc,91545935250,163 The Esplanade,Scarborough,6019,adminofficer@scarboro.com.au,adminofficer@scarboro.com.au,Medium,General community in Australia,1928,12 August 2019,31 October 2020,30-4月,WA," $469,685.00",60000,28287,0,0,381398," $571,473.00",0,0,0,60000,511473
Port Douglas Surf Life Saving Club Inc,75174041384,Po Box 112,Port Douglas,4877,accounts.pdslsc@bigpond.com,pdslsc@bigpond.com,Small,"Adults - aged 25 to under 65,Adults - aged 65 and over,Children - aged 6 to under 15,Families,Females,Males,Youth - 15 to under 25,General community in Australia",1985,8 April 2019,31 August 2020,31-12月,QLD," $249,278.00",57386,75467,0,0,116425," $146,118.00",0,0,0,16239,129879
Rainbow Bay Surf Life Saving Club Inc,39353295632,2 Snapper Rocks Road,Coolangatta,4225,admin@rainbowbayslsc.com.au,admin@rainbowbayslsc.com,Medium,General community in Australia,1976,19 June 2019,31 October 2020,30-4月,QLD," $407,401.00",40572,91969,227780,0,47080," $398,378.00",0,0,0,76955,321423
Portsea Surf Life Saving Club Inc,69006114727,L 4 Se 1 437 St Kilda Rd,Melbourne,3004,contact@portseasurf.com.au,secretary@portseasurf.com.au,Large,General community in Australia,1948,22 September 2019,31 October 2020,30-4月,VIC," $3,333,853.00",1625000,938663,467224,16336,286630," $652,503.00",0,0,2301,0,650202
Pacific Palms Surf Life Saving Club Incorporated,77297625761,,,,administration@pacificpalmsslsc.org.au,administration@pacificpalmsslsc.org.au,Small,General community in Australia,1986,28 September 2019,31 October 2020,30-4月,NSW," $220,108.00",35380,24833,155214,3511,1170," $251,182.00",0,0,0,54261,196921
Port Kembla Surf Life Saving Club Incorporated,84563239680,U 1a 172 Cowper St,Warrawong,2502,dpretzler@gmail.com,dpretzler@gmail.com,Small,"Children - aged 6 to under 15,General community in Australia",,23 January 2020,31 August 2020,28-2月,NSW," $64,546.00",5000,11711,20727,351,26757," $74,269.00",0,0,0,0,74269
Point Lonsdale Surf Life Saving Club Incorporated,90650713800,54 Ocean Road,Point Lonsdale,3225,secretary@plslsc.com.au,secretary@plslsc.com.au,Large,General community in Australia,1946,24 January 2020,31 October 2020,30-4月,VIC," $1,425,004.00",52327,998372,178437,26287,169581," $512,506.00",0,0,0,100840,411666
Ocean Beach Surf Life Saving Club,27871986250,176 The Esplanade,Umina Beach,2257,office@oceanbeachslsc.com,office@oceanbeachslsc.com,Medium,General community in Australia,1921,29 July 2019,31 December 2020,30-6月,NSW," $330,930.00",20869,21371,55359,0,233331," $317,724.00",0,0,0,31380,286344
North Haven Surf Life Saving Club Inc,26923941238,44 Australia Two Ave,North Haven,5018,administrator@northhavenslsc.com.au,administrator@northhavenslsc.com.au,Small,General community in Australia,1978,27 July 2019,31 October 2020,30-4月,SA," $137,812.00",5000,7294,121991,2359,1168," $177,309.00",0,0,0,49105,128204
Palm Beach Surf Life Saving Club Inc.,81799531933,117 Jefferson Lane,Palm Beach,4221,administrator@palmbeachsurfclub.com.au,administrator@palmbeachsurfclub.com.au,Medium,"Adults - aged 25 to under 65,Children - aged 6 to under 15,Youth - 15 to under 25,General community in Australia",1987,15 July 2019,31 October 2020,30-4月,QLD," $951,504.00",159227,505693,286584,0,0," $844,872.00",0,0,0,87832,757040
North Burleigh Surf Life Saving Club Incorporated,32250692765,293 The Esplanade,Miami,4220,office@northburleighslsc.com.au,office@northburleighslsc.com.au,Medium,"Adults - aged 25 to under 65,Adults - aged 65 and over,Children - aged 6 to under 15,Families,Females,Males,People with disabilities,Youth - 15 to under 25,General community in Australia",,23 October 2019,31 October 2020,30-4月,QLD," $967,295.00",40555,518509,408231,0,0," $869,910.00",0,0,0,211238,658672
North Avoca Surf Life Saving Club Inc,66639566245,48 North Avoca Pde,North Avoca,2260,office@northavocaslsc.com.au,office@northavocaslsc.com.au,Medium,General community in Australia,1955,6 February 2020,31 December 2020,30-6月,NSW," $297,979.00",14642,23753,64861,60243,134480," $267,512.00",0,0,0,18197,249315
North Wollongong Surf Life Saving Club Inc,77519751596,1a Cliff Rd,North Wollongong,2500,tanya.turcato@hotmail.com,tanya.turcato@hotmail.com,Medium,"Adults - aged 25 to under 65,Children - aged 6 to under 15,Youth - 15 to under 25,General community in Australia",1924,1 October 2019,30 September 2020,31-3月,NSW," $268,678.00",20000,37622,168196,5675,37185," $252,203.00",0,0,0,49378,202825
Narooma Surf Life Saving Club Inc.,52035469607,Ballingalla Street,Narooma,2546,naroomasurf@yahoo.com.au,naroomasurf@yahoo.com.au,Small,"Aboriginal and Torres Strait Islander people,Adults - aged 25 to under 65,Children - aged 6 to under 15,General community in Australia",1981,24 February 2020,31 December 2020,30-6月,NSW," $79,400.00",5500,25400,48500,0,0," $104,000.00",0,0,0,0,104000
North Narrabeen Surf Life Saving Club Inc.,84987305207,Po Box 49,Narrabeen,2101,admin@northnarra.org.au,admin@northnarra.org.au,Medium,"Children - aged 6 to under 15,Families",1911,11 February 2020,31 October 2020,30-4月,NSW," $515,119.00",8109,36217,291845,290,178658," $461,134.00",668,0,0,48221,412245
Mullaloo Surf Life Saving Club Inc.,41509966737,11 Oceanside Prom,Mullaloo,6027,info@mullaloosurf.com.au,info@mullaloosurf.com.au,Medium,General community in Australia,,31 August 2019,30 September 2020,31-3月,"VIC,NSW,QLD,WA,SA"," $921,728.00",0,5738,333831,0,582159," $229,844.00",0,0,0,95252,134592
North Curl Curl Surf Life Saving Club,74095397853,Huston Parade,North Curl Curl,2099,finance@nccslsc.com.au,finance@nccslsc.com.au,Medium,General community in Australia,1921,10 January 2020,31 October 2020,30-4月,NSW," $439,333.00",34657,108915,225373,329,70059," $370,029.00",0,0,0,3240,366789
Noosa Heads Surf Life Saving Club Inc,66935523192,69 Hastings St,Noosa Heads,4567,admin@noosasurfclub.com.au,admin@noosasurfclub.com.au,Large,"Adults - aged 25 to under 65,Children - aged 6 to under 15,Families,People from a culturally and linguistically diverse background,People with disabilities,Youth - 15 to under 25,General community in Australia",1927,28 October 2019,31 October 2020,30-4月,QLD," $3,538,044.00",75578,1262540,2194835,4543,548," $2,998,356.00",0,0,0,1132993,1865363
Mollymook Surf Life Saving Club Incorporated,26143432047,1 Golf Ave,Mollymook,2539,admin@mollymooksurf.com.au,admin@mollymooksurf.com.au,Medium,General community in Australia,1933,29 March 2019,31 August 2020,30-6月,NSW," $309,291.00",57000,22732,155011,3102,71446," $336,493.00",0,0,0,0,336493
Mooloolaba Surf Life Saving Club Inc,47784043829,The Esplanade,Mooloolaba,4557,accounts@thesurfclub.com.au,accounts@thesurfclub.com.au,Large,General community in Australia,1923,27 May 2020,31 October 2021,30-4月,QLD," $1,775,584.00",49427,325268,168670,135,1232084," $1,597,501.00",1597,0,42962,257665,1295277
Miami Beach Surf Life Saving Club Inc,94449171880,2 Hythe Street,Miami,4220,mbslsc2@gmail.com,mbslsc2@gmail.com,Small,General community in Australia,1946,4 September 2019,31 October 2020,30-4月,QLD," $239,420.00",37811,2556,9574,0,189479," $247,289.00",0,0,0,36149,211140
Nobby's Beach Surf Life Saving Club Inc,40126679047,Po Box 561,Miami,4220,admin@nobbysbeachslsc.com,admin@nobbysbeachslsc.com,Medium,General community in Australia,1953,13 August 2019,31 October 2020,30-4月,QLD," $432,969.00",79226,222671,0,0,131072," $470,033.00",0,0,0,39945,430088
Maroubra Surf Life Saving Club Incorporated,43649693151,5r Marine Pde,Maroubra,2035,secretary@maroubraslsc.com.au,secretary@maroubraslsc.com.au,Medium,General community in Australia,1905,14 September 2017,31 October 2019,30-4月,NSW," $395,022.00",0,315676,0,0,79346," $350,142.00",0,0,0,0,350142
Moruya Surf Life Saving Club Inc,72996492001,1 Charles Moffitt Dr,Moruya Heads,2537,secretary@moruyasurf.org.au,secretary@moruyasurf.org.au,Small,"Children - aged 6 to under 15,People in rural/regional/remote communities,People with disabilities,General community in Australia",1931,13 December 2019,31 December 2020,30-6月,NSW," $90,383.00",21634,7526,44460,805,15958," $101,593.00",0,0,0,0,101593
Killcare Surf Life Saving Club Inc.,56499340296,81 Beach Road,Killcare,2257,admin@killcaresureclub.com.au,finance@killcaresurfclub.com.au,Small,General community in Australia,1930,18 September 2019,31 October 2020,30-4月,NSW," $150,998.00",18127,58601,71570,2700,0," $188,167.00",0,0,0,21424,166743
Kiama Downs Surf Life Saving Club Incorporated,71918486420,150 North Kiama Dr,Kiama Downs,2533,janhorspool@bigpond.com,janhorspool@bigpond.com,Small,General community in Australia,,21 December 2019,31 December 2020,30-6月,NSW," $114,160.00",23518,41456,0,0,49186," $81,219.00",0,0,0,0,81219
Kirra Surf Life Saving Club Inc.,37906462454,15 Marine Pde,Coolangatta,4225,kirra@kirraslsc.com,kirra@kirraslsc.com,Small,General community in Australia,1915,19 July 2017,,30-4月,QLD," $160,124.00",21640,65308,0,0,73176," $241,737.00",5824,0,0,29562,206351
Mission Beach Surf Life Saving Club Inc,75890357071,154 Kennedy Esp,South Mission Beach,4852,missionbeachslsc@gmail.com,missionbeachslsc@gmail.com,Small,General community in Australia,1985,20 June 2020,30 June 2021,31-12月,QLD," $60,881.00",37067,3760,3043,0,17011," $68,941.00",0,0,0,0,68941
Hervey Bay Surf Life Saving Club Inc.,69758218649,481 Charlton Esplanade,Torquay,4655,Treasurer@herveybaysurfclub.com.au,Treasurer@herveybaysurfclub.com.au,Small,General community in Australia,1986,3 September 2019,30 September 2020,31-3月,QLD," $169,908.00",52463,53878,61670,0,1897," $144,868.00",0,0,0,0,144868
MacMasters Beach Surf Life Saving Club Incorporated,62774260161,Po Box 6337,Kincumber,2251,admin@macmastersbeachslsc.com,admin@macmastersbeachslsc.com,Medium,"Families,General community in Australia",1944,30 August 2019,31 October 2020,30-4月,NSW," $439,056.00",48281,51344,251023,1810,86598," $370,564.00",0,0,0,0,370564
Long Reef Surf Life Saving Club Incorporated,78012537376,Po Box 214,Collaroy Beach,2097,admin@longreef.com,admin@longreef.com,Small,"Adults - aged 25 to under 65,Children - aged 6 to under 15,Youth - 15 to under 25,General community in Australia",,20 February 2020,31 October 2019,30-4月,NSW," $85,482.00",22376,8570,34384,20152,0," $181,141.00",0,0,0,0,181141
Goolwa Surf Life Saving Club Inc,97318447629,Lot 278 Beach Road,Goolwa Beach,5214,information@goolwaslsc.com.au,information@goolwaslsc.com.au,Large,General community in Australia,2012,13 March 2020,31 December 2020,30-6月,SA," $3,694,685.00",2456597,2575,0,0,1235513," $3,654,793.00",0,0,6869,0,3647924
Grange Surf Life Saving Club Inc,67807833911,497 Esplanade,Grange,5022,heather.thompson@maxima.com.au,heather.thompson@maxima.com.au,Medium,General community in Australia,1957,13 August 2019,31 October 2020,30-4月,SA," $274,106.00",15000,7026,0,2737,249343," $271,661.00",0,0,0,0,271661
Fremantle Surf Life Saving Club Inc,34048412533,Fremantle Slsc,North Fremantle,6159,admin@fremantlesurfclub.com.au,admin@fremantlesurfclub.com.au,Medium,"Adults - aged 25 to under 65,Children - aged 6 to under 15,Youth - 15 to under 25,General community in Australia",,24 October 2019,31 October 2020,30-4月,WA," $591,872.00",20000,66877,459105,2624,43266," $635,496.00",0,0,0,167566,467930
Kawana Waters Surf Life Saving Club Inc,84253342007,Po Box 152,Buddina,4575,accounts@kawanasurfclub.com.au,accounts@kawanasurfclub.com.au,Medium,General community in Australia,1980,26 May 2020,31 October 2021,30-4月,QLD," $459,125.00",99570,52659,25207,0,281689," $447,783.00",0,0,0,65999,381784
Etty Bay Surf Life Savings Club Inc,83347395660,Po Box 805,Innisfail,4860,ettybayslsc.admin@bigpond.com,ettybayslsc.treas@bigpond.com,Small,General community in Australia,1935,23 May 2020,30 June 2021,31-12月,QLD," $82,595.00",55375,2697,10098,184,14241," $64,081.00",0,0,0,0,64081
Carlton Park Surf Life Saving Club Inc,28606295281,Po Box 44,Dodges Ferry,7173,carltonpark@slst.asn.au,carltonpark@slst.asn.au,Medium,General community in Australia,1975,26 August 2019,31 October 2020,30-4月,TAS," $336,244.00",256000,14795,25882,689,38878," $161,009.00",0,0,0,0,161009
Hat Head Surf Life Saving Club Incorporated,16293052146,Cnr Bay & Myrtle St,Hat Head,2440,hatheadslsc@gmail.com,hatheadslsc@gmail.com,Small,"Adults - aged 25 to under 65,Children - aged 6 to under 15,Youth - 15 to under 25",1989,27 November 2019,31 December 2020,30-6月,NSW," $48,895.00",0,18234,0,0,30661," $52,759.00",0,0,0,0,52759
Gerringong Surf And Life Saving Club Inc.,69219855751,71 Pacific Ave,Werri Beach,2534,alansain1949@hotmail.com,alansain1949@hotmail.com,Small,General community in Australia,1976,15 October 2019,31 October 2020,30-4月,NSW," $116,182.00",1100,22082,93000,0,0," $82,344.00",0,0,0,0,82344
Cape Hawke Surf Lifesaving Club Incorporated,55908765052,1 Palmgrove Pl,Forster,2428,info@capehawkeslsc.org.au,curto@bigpond.net.au,Small,General community in Australia,1979,13 January 2020,31 October 2020,30-4月,NSW," $160,957.00",2450,46242,38516,60,73689," $119,682.00",0,0,0,6345,113337
Cabarita Beach Surf Lifesaving Club Incorporated,44811676474,7 Pandanus Pde,Cabarita Beach,2488,admin@cabaslsc.org.au,admin@cabaslsc.org.au,Medium,"Aboriginal and Torres Strait Islander people,Adults - aged 25 to under 65,Adults - aged 65 and over,Children - aged 6 to under 15,Families,Females,Gay, lesbian, bisexual, transgender or intersex persons,Males,Migrants, refugees or asylum seekers,People from a culturally and linguistically diverse background,People with disabilities,Youth - 15 to under 25,Other charities",1949,13 November 2019,31 December 2020,30-6月,NSW," $357,332.00",8964,21448,279173,3395,44352," $356,539.00",0,0,0,128770,227769
Fairy Meadow Surf Life Saving Club Inc,86308967130,2 Elliotts Rd,Fairy Meadow,2519,admin@fairymeadowslsc.com,admin@fairymeadowslsc.com,Small,"Aboriginal and Torres Strait Islander people,Adults - aged 25 to under 65,Adults - aged 65 and over,Children - aged 6 to under 15,Families,Females,Financially disadvantaged people,Gay, lesbian, bisexual, transgender or intersex persons,Males,Migrants, refugees or asylum seekers,People from a culturally and linguistically diverse background,People with disabilities,Unemployed persons,Veterans and/or their families,Youth - 15 to under 25,General community in Australia",1949,30 January 2020,31 December 2020,30-6月,NSW," $37,185.00",12682,10678,8811,469,4545," $45,633.00",0,0,0,0,45633
Caves Beach Surf Life Saving Club Inc,41558048456,131 Caves Beach Road,Caves Beach,2281,secretary@cavesslsc.com.au,secretary@cavesslsc.com.au,Medium,"Children - aged 6 to under 15,General community in Australia",,4 June 2020,31 October 2021,30-4月,NSW," $345,705.00",38330,73620,210916,710,22129," $291,356.00",0,0,0,0,291356
Bungan Beach Surf Life Saving Club Inc,63391106437,Lower Myola Road,Newport,2106,info.bungan@gmail.com,info.bungan@gmail.com,Small,General community in Australia,1952,29 August 2019,30 November 2020,31-5月,NSW," $71,005.00",8800,14528,0,598,47079," $73,689.00",0,0,0,0,73689
Era Surf Life Saving Club Incorporated,92275174739,17 Hill St,Bulli,2516,riverside1@bigpond.com.au,riverside1@bigpond.com.au,Small,General community in Australia,1937,17 September 2019,31 December 2020,30-6月,NSW," $105,985.00",10455,25028,47215,760,22527," $109,979.00",0,0,0,0,109979
Bulli Surf Life Saving Club Incorporated,33908694170,Trinity Row,Bulli,2517,bullisurfclub@gmail.com,bullisurfclub@gmail.com,Medium,General community in Australia,1912,20 August 2019,31 December 2020,30-6月,NSW," $596,336.00",357712,109450,54764,1128,73282," $172,719.00",0,0,0,0,172719
Bridport Surf Life Saving Club Inc,94490022961,Po Box 140,Bridport,7262,secretary@bridportslsc.org.au,secretary@bridportslsc.org.au,Small,General community in Australia,2010,23 April 2020,7 April 2019,30-6月,TAS," $54,042.00",10675,1994,41373,0,0," $44,061.00",0,0,0,0,44061
Binningup Surf Life Saving Club (incorporated),73391478164,Po Box 420,Australind,6233,binningupslsc@hotmail.com,binningupslsc@hotmail.com,Small,"Adults - aged 25 to under 65,Children - aged 6 to under 15,Youth - 15 to under 25,General community in Australia",,29 October 2019,31 October 2020,30-4月,WA," $60,797.00",5500,13634,12505,475,28683," $29,656.00",5000,0,0,0,24656
Elouera Surf Life Saving Club Inc,87384377411,80 Mitchell Rd,Cronulla,2230,administration@elouera.com,administration@elouera.com,Large,"Children - aged 6 to under 15,Families,People with disabilities,General community in Australia",1965,29 August 2019,31 October 2020,30-4月,NSW," $1,151,622.00",17405,101260,0,0,1032957," $1,215,618.00",0,0,10594,187105,1017919
Burning Palms Surf Life Saving Club,25945774843,8 Harpur Pl,Casula,2170,info@burningpalmsslsc.com.au,info@burningpalmsslsc.com.au,Small,"Adults - aged 25 to under 65,Adults - aged 65 and over,Children - aged 6 to under 15,Families,Females,Males,Youth - 15 to under 25,General community in Australia",1938,16 May 2019,31 October 2020,30-4月,NSW," $115,468.00",35736,14150,64542,1040,0," $71,366.00",0,0,0,0,71366
Bronte Surf Life Saving Club Inc,47683939515,Clubhouse Bronte Beach Nsw,Bronte,2024,management@brontesurfclub.com.au,management@brontesurfclub.com.au,Large,General community in Australia,1902,18 September 2019,31 October 2020,30-4月,NSW," $1,365,704.00",38280,104050,994073,34392,194909," $1,129,715.00",1810,0,10963,200887,916055
Dongara Denison Surf Life Saving Club Incorporated,96881276363,White Tops Rd,Dongara,6525,rod@edwardspartners.com.au,rod@edwardspartners.com.au,Small,General community in Australia,2002,29 March 2018,7 April 2019,30-6月,WA," $42,995.00",12943,990,8902,36,20124," $35,543.00",0,0,0,0,35543
Boat Harbour Beach Surf Life Saving Club,13927694487,286 Port Rd,Boat Harbour Beach,7321,sfairbrother@bigpond.com,sfairbrother@bigpond.com,Small,"Families,People in rural/regional/remote communities,General community in Australia",,23 March 2020,31 December 2020,30-6月,TAS," $46,300.00",10000,300,36000,0,0," $50,000.00",15000,0,0,0,35000
Bermagui Surf Life Saving Club Inc,59551411543,22 Lamont St,Bermagui,2546,bermisurfclub@gmail.com,bermisurfclub@gmail.com,Small,"People with chronic illness (including terminal illness),People with disabilities,Victims of disaster,General community in Australia",1998,22 January 2020,31 December 2020,30-6月,NSW," $72,530.00",6520,9977,56033,0,0," $45,326.00",3810,0,0,0,41516
Cudgen Headland Surf Life Saving Club Limited,89056438530,61 Marine Parade,Kingscliff,2487,admin@cudgenslsc.org.au,admin@cudgenslsc.org.au,Large,General community in Australia,1921,19 November 2019,31 October 2020,30-4月,NSW," $3,650,768.00",214316,105544,2959621,9440,361847," $3,186,303.00",39529,0,343,936710,2209721
Coolum Beach Surf Lifesaving Club Inc,47530546968,1775-1779 David Low Way,Coolum Beach,4573,admin@coolumsurfclub.com.au,admin@coolumsurfclub.com.au,Large,General community in Australia,1917,23 October 2019,31 October 2020,30-4月,QLD," $1,686,874.00",38932,710301,61155,0,876486," $364,194.00",0,0,17573,116361,230260
Elliott Heads Surf Lifesaving Club Inc,81423865698,2 Lihs St,Elliott Heads,4670,robert.holden8@bigpond.com,robert.holden8@bigpond.com,Small,"Adults - aged 25 to under 65,Children - aged 6 to under 15,Youth - 15 to under 25,General community in Australia",1990,3 September 2019,31 October 2020,30-4月,QLD," $211,278.00",110801,12686,35655,0,52136," $171,386.00",64986,0,0,0,106400
Cooks Hill Surf Life Saving Club Inc,17023819760,Memorial Drive,Bar Beach,2301,secretary@cookshillsurfclub.com.au,secretary@cookshillsurfclub.com.au,Large,"Children - aged 6 to under 15,People from a culturally and linguistically diverse background,People with disabilities,General community in Australia",1910,7 August 2019,30 November 2020,30-5月,NSW," $1,126,259.00",314182,234360,575510,2207,0," $491,870.00",0,0,0,101722,390148
Clifton Beach Surf Life Saving Club Inc,95273665453,465 Clifton Beach Road,Clifton Beach,7020,info@cliftonbeachslsc.com.au,treasurer@cliftonbeachslsc.com.au,Medium,General community in Australia,1963,21 September 2019,31 October 2020,30-4月,TAS," $258,621.00",4505,749,112810,1101,139456," $110,131.00",0,0,0,0,110131
Coogee Beach Surf Lifesaving Club Inc,52780565587,20 Coogee Rd,Munster,6166,clubadministrator@cbslsc.com.au,clubadministrator@cbslsc.com.au,Large,General community in Australia,2002,21 April 2020,31 October 2020,30-4月,WA," $1,236,049.00",84334,15547,1076618,0,59550," $1,247,350.00",0,0,2021,407695,837634
Dicky Beach Surf Life Saving Club Inc.,54619267288,1a Coochin St,Dicky Beach,4551,lifesaving@dickybeachsurfclub.com,lifesaving@dickybeachsurfclub.com,Medium,"Families,General community in Australia",1949,7 October 2019,31 October 2020,30-4月,QLD," $894,050.00",26541,481221,75567,1963,308758," $614,219.00",634,0,0,170052,443533
Chiton Rocks Surf Lifesaving Club Inc,62902946739,Chiton Slsc,Chiton,5211,chitonrocks@gmail.com,chitonrocks@gmail.com,Large,General community in Australia,1935,15 November 2018,31 October 2019,30-4月,SA," $2,313,027.00",2253096,894,12000,356,46681," $157,403.00",0,0,0,0,157403
Champion Bay Surf Life Saving Club,46572419623,Champion Beach Forrest Street,Geraldton,6530,admin@champions.org.au,admin@champions.org.au,Small,General community in Australia,2001,17 September 2019,31 January 2020,30-6月,WA," $105,957.00",10156,43705,48890,3206,0," $14,053.00",0,0,0,0,14053
Cronulla Surf Life Saving Club Inc,92741074881,6r The Esplanade,Cronulla,2230,admin@cronullasurfclub.com,admin@cronullasurfclub.com,Large,"People with disabilities,General community in Australia",1906,22 October 2019,31 October 2020,30-4月,NSW," $3,865,736.00",3051165,42776,719303,11887,40605," $650,165.00",0,0,0,81121,569044
Cape Paterson Surf Life Saving Club Inc,78434245204,Po Box 192,Camberwell,3124,president@cpslsc.org.au,secretary@cpslsc.org.au,Small,General community in Australia,1959,4 October 2019,31 October 2020,30-4月,VIC," $204,387.00",50000,25298,125580,2042,1467," $89,919.00",0,0,0,0,89919
Coffs Harbour Surf Life Saving Club Ltd,54002880346,Surf Club,Coffs Harbour,2450,info@coffsharcoursurfclub.com.au,info@coffsharboursurfclub.com.au,Medium,General community in Australia,,10 February 2020,31 December 2020,30-6月,NSW," $883,572.00",5000,274412,553184,0,50976," $747,251.00",0,0,0,185871,561380
Byron Bay Surf Life Saving Club Inc,91080651679,Bay St,Byron Bay,2481,adminbbslsc@byronbaysurfclub.org,adminbbslsc@byronbaysurfclub.org,Small,General community in Australia,1907,4 November 2019,30 September 2020,31-3月,NSW," $228,525.00",13281,45563,97643,17150,54888," $113,015.00",250,0,0,7385,105380
Burnie Surf Life Saving Club Inc,20690531660,5 North Tce,Burnie,7320,secretary@burnieslsc.org.au,treasurer@burnieslsc.org.au,Small,General community in Australia,1920,15 September 2019,31 October 2020,30-4月,TAS," $126,556.00",20636,31799,38328,0,35793," $133,755.00",0,0,0,0,133755
Broome Surf Life Saving Club Incorporated,69552813093,Lot 2789 Cable Beach Rd W,Cable Beach,6726,broomeslsc@westnet.com.au,broomeslsc@westnet.com.au,Medium,General community in Australia,,12 June 2020,31 January 2020,30-6月,WA," $425,720.00",340385,6317,79018,0,0," $160,745.00",0,0,0,64076,96669
City Of Bunbury Surf Lifesaving Club Inc,49959694957,Ocean Drive,Bunbury,6230,surfclub@bunburyslsc.com.au,surfclub@bunburyslsc.com.au,Medium,"Children - aged 6 to under 15,Families,Youth - 15 to under 25,General community in Australia",1914,28 October 2019,31 October 2020,30-4月,WA," $335,789.00",11500,7030,317259,0,0," $293,349.00",0,0,0,75492,217857
Carrum Surf Life Saving Club Incorporated,66265342567,15 Old Post Office Lane,Carrum,3197,info@carrumslsc.com,info@carrumslsc.com,Small,"Families,General community in Australia",,17 January 2020,31 December 2020,30-6月,VIC," $88,318.00",18562,22504,45815,0,1437," $73,046.00",0,0,0,0,73046
